title,link
D-Link.DIR-825.apc_client_pin.cgi.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57238
Fuel.CMS.filter.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57220
WordPress.Import.XML.And.RSS.Feeds.Plugin.Backdoor,https://www.fortiguard.com/encyclopedia/ips/57222
Ghost.CMS.Upload.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/57211
Gitea.Mirror.Repo.URL.Setting.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55678
MS.MSHTML.Platform.CVE-2023-35628.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57218
Palo.Alto.Networks.Expedition.CVE-2025-0107.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57196
Siglent.SDS.Devices.SCPI.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57186
Siglent.SDS1104X-E.SCPI.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57177
Wavlink.AC3000.internet.cgi.custom_interface.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57182
Wavlink.AC3000.internet.cgi.dest.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57179
Wavlink.AC3000.internet.cgi.gateway.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57180
Wavlink.AC3000.internet.cgi.netmask.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57181
Wavlink.AC3000.internet.cgi.qos.cli_mac.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57188
Wavlink.AC3000.internet.cgi.qos.cli_name.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57187
Wavlink.AC3000.internet.cgi.qos.en_enable.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57189
Wavlink.AC3000.login.cgi.restart_hour_value.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57190
Wavlink.AC3000.login.cgi.restart_min_value.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57194
Wavlink.AC3000.login.cgi.restart_week_value.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57195
Wavlink.AC3000.nas.cgi.ftp_name.Configuration.Modification,https://www.fortiguard.com/encyclopedia/ips/57197
LevelOne.WBR-6012.Web.Application.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56805
Ruby.SAML.Library.DigestValue.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56799
mySCADA.myPRO.Hard-Coded.Credential.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56808
Riello.Netman.204.db_eventlog_w.cgi.type.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56785
Rittal.IoT.json.cgi.Predictable.Session.ID.Brute.Force,https://www.fortiguard.com/encyclopedia/ips/56786
Tenda.AC8.fast_setting_wifi_set.Out-of-Bounds.Write,https://www.fortiguard.com/encyclopedia/ips/56780
Netgate.pfSense.interfaces_groups_edit.XSS,https://www.fortiguard.com/encyclopedia/ips/56774
Vendure.Asset.Server.Plugin.DoS,https://www.fortiguard.com/encyclopedia/ips/56773
ABB.Cylon.ASPECT.persistenceManagerAjax.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56767
Veeam.Backup.and.Replication.CVE-2024-40711.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56766
ABB.Cylon.ASPECT.databaseFileDelete.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56747
D-Link.DIR-860L.Gena.cgi.SID.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56758
Alien.Technology.ALR-F800.system.html.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56696
SonicWall.SRA.extensionsettings.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56737
WordPress.NotificationX.Analytics.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56732
Palo.Alto.Networks.Expedition.Admin.Password.Reset,https://www.fortiguard.com/encyclopedia/ips/56726
Palo.Alto.Networks.Expedition.CVE-2024-9464.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56727
Palo.Alto.Networks.Expedition.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56728
ABB.Cylon.ASPECT.calendarFileDelete.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/56711
Ivanti.Cloud.Service.Appliance.client.index.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/56710
Tenda.AC10U.add_white_node.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57090
Tenda.FH1206.fromSafe.Go.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57098
Tenda.FH1206.qossetting.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57097
anji-plus.AJ-Report.swagger-ui.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57093
EyesOfNetwork.EONAPI.KEY.Hard.Coded.Credentials,https://www.fortiguard.com/encyclopedia/ips/57089
Apache.Tomcat.CVE-2024-50379.Race.Condition,https://www.fortiguard.com/encyclopedia/ips/57078
FortiOS.NodeJS.Websocket.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57082
WordPress.WP.File.Upload.wfu_file_downloader.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/57080
TP-Link.Devices.deviceInfoRegister.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57067
TP-Link.Routers.bindRequestHandle.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57069
TP-Link.Routers.upgradeInfoJsonToBin.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57068
Teltonika.RUT9XX.Routers.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57061
Oracle.WebLogic.CVE-2024-21181.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/57044
ABB.Cylon.ASPECT.calendarUpdate.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57045
ABB.Cylon.ASPECT.clearProjectConfiguration.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57046
WordPress.Plugin.GutenKit.Install.Active.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/57053
Craft.CMS.TemplatesPath.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57031
D-Link.DAR-7000.Backup_Server_commit.php.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56972
Hikvision.DS.CVE-2017-7921.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/57024
NUUO.NVRmini2.handle_import_user.php.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/57011
Reolink.RLC-410W.SetDdns.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57012
Nextu.Flata.AX1500.formStaticDHCP.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57009
WordPress.Plugin.PegaPoll.Privilege.Elevation,https://www.fortiguard.com/encyclopedia/ips/56962
Artica.Pandora.FMS.ldap_admin_login.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56987
Cleo.File.Transfer.Software.Unrestricted.File.Upload,https://www.fortiguard.com/encyclopedia/ips/57006
WordPress.WP.Umbrella.umbrella-restore.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/56985
WordPress.Widget.Options.latest-comments.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56993
Zabbix.api_jsonrpc.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56989
NETGEAR.R6250.ddns.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56975
MS.Windows.MSMQ.CVE-2024-49122.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56941
ProjectSend.CVE-2024-11680.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56950
SAP.BusinessObjects.Business.Intelligence.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56953
WordPress.Really.Simple.Security.2FA.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/56952
Array.Networks.Array.AG.client_sec.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/56942
D-Link.Routers.msp_info_htm.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56926
OpenNetAdmin.Window_Submit.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56922
Tenda.AC10.SetSysTimeCfg.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56929
Tenda.AC15.SetSysTimeCfg.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/56930
D-Link.DNS.Zip.Path.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56906
D-Link.DNS.cgi_del_photo.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56911
Wavlink.AC3000.nas.cgi.ftp_port.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/57198
Wavlink.AC3000.nas.ftp_max_sessions.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/57199
WordPress.Super.Backup.Clone.Plugin.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/57173
Interlink.PSG-5124.CVE-2023-29711.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57172
Wavlink.AC3000.nas.cgi.adddir.adddir_name.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57162
Wavlink.AC3000.nas.cgi.adddir.disk_part.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57161
Wavlink.AC3000.openvpn.cgi.open_port.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57165
Wavlink.AC3000.openvpn.cgi.sel_open_interface.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57164
Wavlink.AC3000.openvpn.cgi.sel_open_protocol.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57163
TOTOLINK.A6000R.get_apcli_conn_info.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56271
H3C.GR-1200W.aspForm.ap_version_check.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57133
MS.Windows.RDP.CVE-2025-21309.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/57059
Tenda.Devices.formQOSRuleDel.qosIndex.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57130
Tenda.O6.frommacFilterModify.mac.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/57131
Aviatrix.Controller.cloud_type.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/57110
